accession	classification	n_coord_his	af3_cu1_assignment	af3_cu1_dist_canonical	af3_cu1_plddt	af3_cu2_assignment	af3_cu2_dist_canonical	af3_cu2_plddt	af3_cu_cu_dist	m3d_n_cu_sites	m3d_n_total_sites	m3d_cu1_closest_cu_dist	m3d_cu1_closest_cu_prob	m3d_cu1_closest_any_dist	m3d_cu1_closest_any_element	m3d_cu2_closest_cu_dist	m3d_cu2_closest_cu_prob	m3d_cu2_closest_any_dist	m3d_cu2_closest_any_element	m3d_CuA_cu_dist	m3d_CuA_cu_prob	m3d_CuA_any_dist	m3d_CuA_any_element	m3d_CuB_cu_dist	m3d_CuB_cu_prob	m3d_CuB_any_dist	m3d_CuB_any_element
A0AA41U5V3	no_cu	2	CuB	1.33	91.3	CuA	3.19	69.1	5.36	0	18			2.14	X			3.23	X								
A0AA42B2P4	mononuclear	5	CuA	0.69	88.8	CuB	0.31	75.1	4.03	2	27	0.42	0.930	0.42	CU	1.96	0.620	1.96	CU								
A0AA43QLN8	mononuclear	3	CuA	0.51	93.0	CuB	2.42	74.5	4.62	4	17	1.69	0.630	1.69	CU	1.34	0.460	1.34	CU								
A0AA87Y286	mononuclear	5	CuB	0.13	97.3	CuA	0.73	92.0	4.48	3	31	0.13	0.900	0.13	CU	0.24	0.790	0.24	CU								
A0AA88XJ60	no_cu	1	neither		64.7	neither		42.2	10.75	0	26											1.00	X			4.84	X
A0AA88XTS7	no_cu	1	neither		79.2	neither		58.6	35.11	0	25											9.61	X			9.00	X
A0AA89B2U6	mononuclear	4	CuB	0.17	88.8	CuA	1.35	87.5	4.99	0	10			0.54	X			4.75	X								
A0AAD2E0S8	mononuclear	5	CuB	0.24	63.8	CuA	1.26	47.2	4.95	2	19	2.20	0.650	2.20	CU	0.43	0.690	0.43	CU								
A0AAD3DIW9	no_cu	5	CuA	1.09	72.4	neither		83.0	45.25	2	48	0.83	0.610	0.83	CU	44.49	0.610	0.57	ZN								
A0AAD4BGZ0	mononuclear	5	CuB	2.12	93.2	CuA	3.72	69.3	4.25	5	43	0.75	0.940	0.75	CU	0.56	0.580	0.56	CU								
A0AAD4NRB5	mononuclear	5	CuA	0.56	96.8	CuB	0.59	94.3	3.98	3	28	0.68	0.990	0.68	CU	1.51	0.750	1.51	CU								
A0AAD5M387	mononuclear	5	CuB	0.29	96.3	CuA	1.09	70.7	4.45	3	25	0.70	0.990	0.70	CU	1.05	0.960	1.05	CU								
A0AAD5T3C3	mononuclear	5	CuB	0.45	92.9	CuA	0.24	86.4	3.57	3	36	0.65	0.960	0.65	CU	0.63	0.800	0.63	CU								
A0AAD5U3C8	mononuclear	5	CuB	0.34	95.5	CuA	0.84	88.9	3.66	2	51	0.64	0.830	0.64	CU	0.35	0.650	0.35	CU								
A0AAD5V4M1	mononuclear	4	CuB	0.69	95.3	CuA	1.22	72.6	5.02	3	46	0.29	0.950	0.29	CU	1.78	0.690	1.78	CU								
A0AAD5VMH3	mononuclear	4	CuB	0.45	96.3	CuA	0.69	94.5	3.91	2	36	3.07	0.350	3.07	CU	1.09	0.700	1.09	CU								
A0AAD5WPZ9	mononuclear	5	CuB	0.67	98.0	CuA	0.99	90.5	4.01	2	18	0.88	0.980	0.88	CU	2.85	0.980	2.85	CU								
A0AAD5XR56	binuclear	5	CuA	0.46	90.0	CuB	1.49	80.0	4.84	3	16	0.55	0.980	0.55	CU	0.45	0.650	0.45	CU								
A0AAD6E0P8	no_cu	4	CuA	0.57	96.1	CuB	0.53	90.6	3.53	3	22	0.33	0.720	0.33	CU	1.26	0.770	1.26	CU								
A0AAD6NK04	mononuclear	4	CuB	0.80	83.7	CuA	0.50	61.1	3.82	2	45	0.24	0.920	0.24	CU	1.06	0.590	1.06	CU								
A0AAD7J5J2	binuclear	5	CuB	0.33	95.9	CuA	1.01	90.0	4.11	3	30	0.45	0.950	0.45	CU	0.91	0.830	0.91	CU								
A0AAD8FEX8	mononuclear	5	CuB	0.76	96.3	CuA	0.72	93.1	4.42	3	40	1.21	0.740	1.21	CU	0.23	0.920	0.23	CU								
A0AAD8PIW8	mononuclear	5	CuA	0.27	96.1	CuB	0.27	91.6	3.89	3	22	0.54	1.000	0.54	CU	1.09	0.750	1.09	CU								
A0AAD8PLZ0	mononuclear	5	CuA	0.30	96.1	CuB	0.78	90.4	3.31	2	20	0.39	0.880	0.39	CU	1.01	0.880	1.01	CU								
A0AAD8PVJ5	no_cu	2	CuB	0.59	94.7	neither		60.5	16.91	0	17			5.79	X			13.10	X								
A0AAD8UFY3	mononuclear	5	CuA	0.52	97.3	CuB	0.55	95.2	3.9	2	27	0.70	0.980	0.70	CU	0.73	0.940	0.73	CU								
A0AAD9ARY9	mononuclear	5	CuA	0.54	97.3	CuB	0.61	95.0	4.03	1	24	0.75	0.990	0.75	CU	3.38	0.990	3.38	CU								
A0AAD9AZ26	mononuclear	5	CuA	0.51	96.8	CuB	0.63	94.5	3.61	2	21	0.40	0.400	0.40	CU	0.72	0.240	0.72	CU								
A0AAD9ECK1	mononuclear	5	CuA	0.30	94.5	CuB	0.42	89.9	4.16	3	17	0.36	0.960	0.36	CU	0.69	0.790	0.69	CU								
A0AAD9GMI7	no_cu	2	neither		73.7	neither		54.5	40.51	0	29											7.76	X			8.00	X
A0AAD9HBC0	mononuclear	5	CuA	0.30	95.8	CuB	0.20	90.2	4.0	2	29	3.73	0.350	3.73	CU	0.67	0.410	0.67	CU								
A0AAD9HKI6	mononuclear	5	CuA	0.63	96.7	CuB	0.57	93.4	4.0	2	20	0.76	0.970	0.76	CU	0.58	0.880	0.58	CU								
A0AAD9KZ40	no_cu	3	CuB	1.71	45.6	neither		14.4	35.15	0	73			0.95	X			5.14	X								
A0AAD9L024	no_cu	3	CuB	0.72	75.7	CuA	1.14	35.8	4.11	0	29			1.69	X			1.76	ZN								
A0AAD9M015	mononuclear	5	CuA	0.27	92.7	CuB	0.37	82.6	3.75	3	21	1.24	0.730	1.24	CU	1.67	0.590	1.67	CU								
A0AAD9PC82	no_cu	4	CuB	1.10	92.7	CuA	1.29	84.9	4.43	1	24	2.78	0.220	1.21	X	3.22	0.220	3.22	CU								
A0AAD9QB69	mononuclear	4	neither		40.1	neither		26.7	2.68	5	41									1.14	0.900	1.14	CU	0.86	0.970	0.86	CU
A0AAD9YE83	mononuclear	5	CuA	0.36	96.1	CuB	0.36	95.0	4.37	1	25	0.16	0.930	0.16	CU	4.33	0.930	4.33	CU								
A0AAE0D8U4	mononuclear	5	CuA	0.52	98.0	CuB	0.67	95.5	4.05	2	16	0.76	0.960	0.76	CU	0.50	0.900	0.50	CU								
A0AAE0HTN1	mononuclear	5	CuB	0.11	94.0	CuA	0.57	84.5	4.09	2	30	2.25	0.400	2.25	CU	0.80	0.420	0.80	CU								
A0AAE0LYH8	no_cu	5	CuB	1.34	84.5	CuA	1.46	82.4	3.84	2	16	1.77	0.430	1.77	CU	1.92	0.520	1.92	CU								
A0AAE0M077	binuclear	5	CuB	0.74	96.9	CuA	0.48	94.4	3.62	3	16	0.47	0.980	0.47	CU	1.01	0.960	1.01	CU								
A0AAE0MG27	mononuclear	4	CuB	0.94	86.8	CuA	0.58	84.4	3.69	2	22	0.77	0.640	0.77	CU	0.64	0.630	0.64	CU								
A0AAE0NMD8	mononuclear	3	CuA	1.62	79.7	neither		64.0	25.06	1	18	1.02	0.630	1.02	CU	25.39	0.630	4.66	X								
A0AAE0NPZ1	binuclear	4	CuB	0.44	85.0	CuA	1.04	56.2	3.81	2	13	0.41	0.960	0.41	CU	0.63	0.490	0.63	CU								
A0AAE0U1Q5	binuclear	4	CuB	0.81	81.1	CuA	1.12	61.2	3.4	2	51	1.99	0.320	1.99	CU	1.41	0.390	1.41	CU								
A0AAE0WXT6	mononuclear	5	CuA	0.49	96.6	CuB	0.64	95.9	3.7	3	28	0.53	0.910	0.53	CU	0.81	0.470	0.81	CU								
A0AAE0X2E2	mononuclear	5	CuA	0.74	96.1	CuB	0.64	96.3	4.24	2	22	0.67	0.780	0.67	CU	0.92	0.380	0.92	CU								
A0AAE1CE31	binuclear	5	CuB	0.53	70.7	CuA	0.80	72.1	4.23	2	26	0.33	0.860	0.33	CU	0.72	0.810	0.72	CU								
A0AAE8MN78	no_cu	3	CuA	1.55	87.6	CuB	1.62	65.2	2.48	1	13	2.97	0.620	0.66	ZN	0.52	0.620	0.52	CU								
A0AAE8STA2	mononuclear	4	CuB	1.06	56.9	CuA	0.62	60.9	4.69	3	52	2.94	0.830	2.94	CU	0.52	0.950	0.52	CU								
A0AAF5PZK9	mononuclear	5	CuA	0.36	95.8	CuB	0.93	85.8	3.51	3	62	2.55	0.560	2.55	CU	1.36	0.540	1.36	CU								
A0AAI8YW60	no_cu	3	CuA	1.69	81.2	neither		71.2	24.28	0	34			1.43	X			5.74	X								
A0AAI8YWT9	mononuclear	5	CuA	0.31	96.8	CuB	0.32	96.6	4.1	2	20	0.36	0.990	0.36	CU	0.43	0.910	0.43	CU								
A0AAI8YZG9	mononuclear	5	CuA	0.36	96.0	CuB	0.47	92.3	3.77	2	25	0.73	0.950	0.73	CU	1.00	0.430	1.00	CU								
A0AAI9UCA0	mononuclear	4	CuB	0.32	91.2	CuA	1.49	59.0	5.19	3	25	0.50	0.730	0.50	CU	0.80	0.640	0.80	CU								
A0AAI9UNI6	mononuclear	5	CuB	0.82	87.7	CuA	1.10	61.1	5.15																		
A0AAI9XI30	mononuclear	3	CuB	0.30	91.6	neither		45.6	12.56	3	45	1.04	0.980	1.04	CU	9.95	0.710	3.19	ZN								
A0AAI9XMR1	mononuclear	5	CuA	0.30	96.8	CuB	0.40	91.2	3.87	2	16	0.39	0.980	0.39	CU	0.82	0.830	0.82	CU								
A0AAI9XNV3	binuclear	5	CuB	0.70	95.2	CuA	0.45	87.9	3.89	6	26	1.41	0.840	1.41	CU	0.49	0.700	0.49	CU								
A0AAI9XSF2	mononuclear	5	CuA	0.47	97.4	CuB	0.51	94.6	4.0	2	25	0.23	1.000	0.23	CU	1.81	0.230	1.81	CU								
A0AAI9XYD0	mononuclear	5	CuA	0.50	97.1	CuB	0.58	94.1	3.97	3	24	0.36	0.990	0.36	CU	0.70	0.780	0.70	CU								
A0AAI9YQA0	binuclear	3	neither		30.8	CuA	0.12	37.7	32.58	3	61	28.98	0.860	0.16	ZN	0.68	0.990	0.68	CU								
A0AAJ0A0G4	mononuclear	5	CuA	0.51	97.9	CuB	0.81	95.0	4.03	2	15	0.76	0.940	0.76	CU	0.67	0.810	0.67	CU								
A0AAJ0DBW4	mononuclear	5	CuA	0.47	96.4	CuB	0.49	95.0	3.78	3	22	0.66	0.640	0.66	CU	0.59	0.560	0.59	CU								
A0AAJ0DVU7	mononuclear	5	CuA	0.44	97.1	CuB	0.50	94.6	3.84	1	21	0.47	0.850	0.47	CU	3.95	0.850	3.95	CU								
A0AAJ0EU37	mononuclear	5	CuA	0.60	96.9	CuB	0.69	89.5	4.26	3	19	1.29	0.850	1.29	CU	1.35	0.410	1.35	CU								
A0AAJ0HSA6	mononuclear	5	CuA	0.51	97.1	CuB	0.48	94.9	3.94	2	34	0.41	0.970	0.41	CU	0.86	0.730	0.86	CU								
A0AAJ8BCI9	no_cu	2	neither		43.9	neither		14.2	15.22	0	52											2.71	X			2.52	X
A0AAJ8BW86	mononuclear	4	CuB	0.62	89.7	CuA	0.67	56.0	3.91	1	27	0.41	0.990	0.41	CU	4.20	0.990	1.56	X								
A0AAN6E594	mononuclear	5	CuA	0.47	96.5	CuB	0.44	90.0	3.86	3	34	0.44	0.810	0.44	CU	0.53	0.570	0.53	CU								
A0AAN6F7R2	mononuclear	5	CuA	0.44	96.6	CuB	0.61	95.5	3.6	2	23	0.77	0.880	0.77	CU	2.24	0.860	2.24	CU								
A0AAN6G1Z6	mononuclear	5	CuA	0.43	96.8	CuB	0.61	95.0	3.59	3	35	0.25	0.920	0.25	CU	0.17	0.640	0.17	CU								
A0AAN6H7M5	mononuclear	5	CuA	0.54	97.2	CuB	0.62	96.0	3.68	2	29	0.37	0.960	0.37	CU	0.74	0.510	0.74	CU								
A0AAN6K752	mononuclear	5	CuA	0.43	96.9	CuB	0.62	96.1	3.6	3	26	0.53	0.940	0.53	CU	1.01	0.910	1.01	CU								
A0AAN6KA23	mononuclear	5	CuA	0.44	97.1	CuB	0.62	95.8	3.62	2	34	0.48	0.770	0.48	CU	1.02	0.700	1.02	CU								
A0AAN6LYU1	binuclear	5	CuB	0.36	96.4	CuA	0.86	93.4	4.48	3	37	0.80	0.800	0.80	CU	1.06	0.980	1.06	CU								
A0AAN6N1G2	mononuclear	5	CuA	0.54	97.5	CuB	0.34	93.4	4.1	3	22	0.35	1.000	0.35	CU	1.86	0.950	1.86	CU								
A0AAN6SJA1	no_cu	4	neither		87.2	neither		54.9	3.28	0	16			4.02	ZN			1.26	ZN								
A0AAN7GQ08	mononuclear	5	CuA	0.56	97.5	CuB	0.79	96.2	3.6	2	27	0.43	0.930	0.43	CU	1.00	0.860	1.00	CU								
A0AAN7VN59	mononuclear	5	CuA	0.43	97.5	CuB	0.53	96.3	3.65	2	19	0.80	0.790	0.80	CU	1.51	0.910	1.51	CU								
A0AAN8HSE1	mononuclear	4	CuA	0.55	95.1	neither		73.1	25.54	2	25	0.15	0.970	0.15	CU	24.49	0.480	2.39	X	1.08	0.780	1.08	CU	1.54	0.810	1.54	CU
A0AAN8ZF79	mononuclear	4	CuB	1.48	71.4	neither		57.9	32.72	1	22	0.42	0.980	0.42	CU	32.76	0.980	2.22	X	3.41	1.000	3.41	CU	1.65	1.000	1.65	CU
A0AAN9UQ80	mononuclear	5	CuA	0.71	83.4	CuB	1.17	77.2	4.18	2	22	0.75	0.900	0.75	CU	2.26	0.830	2.26	CU								
A0AAN9YIB4	mononuclear	5	CuB	0.77	97.7	CuA	0.56	92.5	3.65	2	30	0.50	0.960	0.50	CU	1.20	0.650	1.20	CU								
A0AAQ3M852	binuclear	5	CuB	0.31	95.3	CuA	0.97	91.1	4.24	4	46	0.99	0.920	0.99	CU	0.05	0.950	0.05	CU								
A0AAU9KU22	no_cu	3	neither		70.8	neither		53.0	36.45	0	41											6.48	X			2.72	X
A0AAV0UD10	no_cu	0	neither		71.5	neither		48.3	33.55	0	26											5.87	X			5.39	X
A0AAV0UFB5	no_cu	1	neither		61.2	neither		45.3	57.77	0	33											4.29	X			4.24	X
A0AAV0UHU3	no_cu	0	neither		68.3	neither		43.8	31.66	0	32											9.13	X			12.00	X
A0AAV0V041	no_cu	1	neither		65.2	neither		37.8	30.35	0	41											1.59	X			3.24	X
A0AAV1T0B6	no_cu	0	neither		74.3	neither		50.2	40.57	0	27											7.27	X			7.50	X
A0AAV2QBX0	no_cu	3	neither		82.9	neither		57.9	26.08	0	25			1.30	ZN			20.13	X								
A0AAV2QDB1	no_cu	0	neither		48.6	neither		9.5	1.78	0	39											5.62	X			3.50	X
A0AAV2T9N0	mononuclear	5	CuA	0.31	91.2	CuB	0.67	72.0	4.55	2	31	0.54	0.960	0.54	CU	0.66	0.630	0.66	CU								
A0AAV2VYF3	mononuclear	5	CuB	0.23	95.0	CuA	0.93	88.8	4.38	2	32	0.20	0.980	0.20	CU	0.40	0.410	0.40	CU								
A0AAV2YQR1	mononuclear	4	CuB	0.30	97.0	neither		72.1	21.58	1	23	0.26	0.970	0.26	CU	21.63	0.970	4.41	X	4.05	0.910	4.05	CU	1.19	0.910	1.19	CU
A0AAV2Z9U8	mononuclear	3	CuB	1.91	66.5	neither		57.7	27.3	0	33			5.84	X			1.38	X			4.47	X			2.84	X
A0AAV4IQ38	no_cu	2	CuB	0.17	56.6	neither		17.8	23.88	1	29	31.67	0.110	1.64	X	33.77	0.110	2.96	X								
A0AAV4JTX0	no_cu	3	neither		64.6	neither		46.3	30.49	0	43											3.71	X			3.29	X
A0AAV7NZD3	no_cu	2	neither		75.3	neither		70.2	36.84	0	20											1.92	X			0.48	X
A0AAV9J8F3	mononuclear	5	CuA	0.43	91.6	CuB	0.64	90.7	3.69	1	23	0.14	0.880	0.14	CU	3.72	0.880	3.72	CU								
A0AAV9LU83	mononuclear	3	CuB	0.38	83.7	neither		34.6	8.98	1	23	0.57	0.830	0.57	CU	9.44	0.830	4.98	X	4.50	0.950	3.86	ZN	1.10	0.950	1.10	CU
A0AAV9N1J6	mononuclear	5	CuA	0.58	96.5	CuB	0.47	94.3	4.06	2	18	0.12	0.980	0.12	CU	0.44	0.520	0.44	CU								
A0AAV9SY11	mononuclear	5	CuA	0.53	97.4	CuB	0.66	95.6	4.0	3	26	0.34	0.970	0.34	CU	0.73	0.780	0.73	CU								
A0AAV9VIS4	mononuclear	5	CuB	1.29	96.2	CuA	2.77	92.9	4.43	3	42	1.22	0.850	1.22	CU	0.22	0.990	0.22	CU								
A0AAV9WSZ8	binuclear	5	CuB	0.12	96.5	CuA	0.88	94.2	4.2	2	33	0.27	0.740	0.27	CU	0.44	0.910	0.44	CU								
A0AAW0DCV9	mononuclear	5	CuB	0.63	95.6	CuA	0.36	93.1	4.09	3	30	1.05	0.690	1.05	CU	0.46	0.780	0.46	CU								
A0AAW0GI35	binuclear	5	CuB	0.41	94.9	CuA	0.87	90.7	3.87	2	38	0.45	0.910	0.45	CU	0.73	0.870	0.73	CU								
A0AAW0Q5S1	mononuclear	5	CuA	0.69	92.4	CuB	0.71	83.1	4.65	1	27	4.20	0.230	4.20	CU	0.45	0.230	0.45	CU								
A0AAW2WSM8	binuclear	5	CuA	0.85	92.1	CuB	0.49	89.5	4.19	3	22	1.51	1.000	1.51	CU	0.52	0.950	0.52	CU								
A0AAX4I0H5	mononuclear	5	CuA	0.51	97.3	CuB	0.69	95.2	3.87	2	25	0.19	0.960	0.19	CU	0.56	0.830	0.56	CU								
A0AAX4IJG7	mononuclear	5	CuA	0.55	92.6	CuB	0.55	91.7	3.68	3	27	0.88	0.680	0.88	CU	1.29	0.530	1.29	CU								
A0AAX6MJK2	binuclear	5	CuA	0.39	74.1	CuB	0.86	79.1	3.47	4	42	0.37	0.990	0.37	CU	1.18	0.780	1.18	CU								
A0AB74JLQ5	no_cu	2	neither		73.3	neither		75.1	26.18	0	25			12.28	X			12.11	X								
A0ABD1WHD2	binuclear	5	CuB	0.41	94.9	CuA	0.74	95.0	4.47	3	19	0.68	0.540	0.68	CU	1.01	1.000	1.01	CU								
A0ABD2IJ80	no_cu	4	neither		75.6	neither		48.0	4.1																		
A0ABD2QHI1	no_cu	4	neither		92.2	neither		50.3	4.58	1	32	3.91	0.150	3.91	CU	2.68	0.150	2.68	CU								
A0ABD3FTY2	mononuclear	4	CuB	0.53	97.3	neither		72.2	22.58	1	29	0.37	0.990	0.37	CU	22.37	0.990	10.52	X	4.60	0.980	4.60	CU	0.95	0.980	0.95	CU
A0ABD3FX43	no_cu	1	neither		70.2	neither		65.3	40.83	0	31											6.22	X			5.77	X
A0ABD3I4U1	mononuclear	5	CuB	0.62	97.3	CuA	1.04	92.5	4.43	3	20	0.80	0.920	0.80	CU	1.30	0.820	1.30	CU								
A0ABD6GFY7	mononuclear	5	CuB	0.18	96.9	CuA	0.72	91.7	4.38	5	27	0.96	0.890	0.96	CU	0.80	0.900	0.80	CU								
A0ABM0MAQ4	mononuclear	5	CuB	0.27	95.5	CuA	0.23	95.3	4.3	3	33	0.47	0.450	0.47	CU	0.46	0.890	0.46	CU								
A0ABM1B806	mononuclear	4	CuA	1.98	55.9	neither		29.5	24.15	0	51			1.64	X			4.52	X			3.18	X			1.37	X
A0ABM1VVY2	no_cu	1	neither		58.8	neither		46.1	21.96	0	30											4.89	X			4.03	X
A0ABM4UF39	mononuclear	5	CuB	0.42	86.2	CuA	1.04	76.9	4.32	2	45	1.30	0.980	1.30	CU	0.36	0.990	0.36	CU								
A0ABM7Q8T6	mononuclear	5	CuB	0.29	96.1	CuA	0.98	86.7	4.6	4	27	0.87	0.830	0.87	CU	0.85	0.880	0.85	CU								
A0ABM7QH35	mononuclear	5	CuB	0.29	96.1	CuA	0.98	86.7	4.6	4	27	0.87	0.830	0.87	CU	0.85	0.880	0.85	CU								
A0ABN3U7S0	no_cu	1	neither		84.0	neither		61.5	27.68	0	13											10.68	X			8.41	X
A0ABN8C0W3	no_cu	1	neither		74.0	neither		60.0	35.05	0	33											5.92	X			2.09	X
A0ABN8CNH4	no_cu	1	CuA	1.08	74.1	neither		50.9	18.71	0	34			2.55	X			1.22	X								
A0ABN8LS46	no_cu	3	CuB	0.33	93.0	neither		58.5	26.86	0	28			0.46	X			8.46	X								
A0ABN8LUS6	mononuclear	5	CuB	0.50	97.3	CuA	0.70	95.1	4.17	4	22	0.82	0.950	0.82	CU	0.39	0.660	0.39	CU								
A0ABN8LVE4	mononuclear	5	CuB	0.51	97.1	CuA	0.80	94.9	4.23	4	26	0.17	0.920	0.17	CU	1.14	0.650	1.14	CU								
A0ABN8LXN0	mononuclear	5	CuB	0.67	94.8	CuA	0.35	86.7	3.94	4	19	0.18	0.930	0.18	CU	0.11	0.490	0.11	CU								
A0ABN8MSS7	mononuclear	5	CuB	0.50	95.4	CuA	0.52	88.9	3.81	2	16	2.65	0.220	2.65	CU	0.63	0.710	0.63	CU								
A0ABN8MVN3	mononuclear	5	CuB	0.45	97.8	CuA	0.71	96.7	4.3	2	22	0.39	0.980	0.39	CU	1.34	0.830	1.34	CU								
A0ABN8MVN6	mononuclear	4	CuA	0.62	92.1	CuB	0.66	92.0	3.73	3	17	0.28	0.380	0.28	CU	0.45	0.660	0.45	CU								
A0ABN8MVQ8	mononuclear	5	CuB	0.32	96.7	CuA	0.70	94.0	3.53	3	24	0.74	0.950	0.74	CU	1.22	0.940	1.22	CU								
A0ABN8MXH6	mononuclear	5	CuB	0.67	95.7	CuA	0.69	91.7	3.8	4	21	0.38	0.970	0.38	CU	1.13	0.680	1.13	CU								
A0ABN8MXX5	mononuclear	5	CuB	0.50	96.0	CuA	0.65	92.7	4.15	3	18	0.93	0.970	0.93	CU	0.63	0.640	0.63	CU								
A0ABN8MY60	mononuclear	5	CuB	0.62	95.0	CuA	0.64	90.8	4.13	2	20	0.27	0.990	0.27	CU	1.04	0.850	1.04	CU								
A0ABN8MZV7	mononuclear	5	CuB	0.57	97.2	CuA	0.68	95.5	4.43	3	21	0.67	0.990	0.67	CU	1.25	0.560	1.25	CU								
A0ABN8N4G6	mononuclear	5	CuB	0.42	97.3	CuA	0.45	92.5	3.96	3	31	0.76	0.960	0.76	CU	0.50	0.320	0.50	CU								
A0ABN8PCP7	mononuclear	5	CuB	0.67	94.6	CuA	0.13	83.1	4.18	1	18	4.24	0.730	3.99	ZN	0.23	0.730	0.23	CU								
A0ABN8PTR8	no_cu	1	neither		49.7	neither		63.5	45.55	0	17											5.28	X			6.02	X
A0ABN8PUI2	no_cu	3	CuB	0.39	92.2	neither		66.8	24.7	0	29			0.90	X			7.11	X								
A0ABN8Q7Y1	mononuclear	5	CuB	0.24	97.3	CuA	0.35	92.5	4.01	1	27	0.42	0.610	0.42	CU	4.39	0.610	4.39	CU								
A0ABN8SLK2	mononuclear	5	CuB	0.63	96.0	CuA	0.41	91.7	4.38	2	12	0.45	0.990	0.45	CU	0.58	0.930	0.58	CU								
A0ABP2BNE3	mononuclear	5	CuB	0.26	96.7	CuA	0.71	92.7	4.28	2	23	0.42	0.990	0.42	CU	1.15	0.780	1.15	CU								
A0ABP3EMV2	no_cu	2	CuB	1.69	86.0	neither		72.2	20.57	0	16			1.35	X			15.55	X								
A0ABQ0GAI5	mononuclear	5	CuA	0.46	95.0	CuB	0.66	94.7	3.6	1	21	4.53	0.510	4.53	CU	1.21	0.510	1.21	CU								
A0ABQ0GL05	mononuclear	5	CuA	0.45	96.6	neither		88.1	26.6	1	28	0.77	0.980	0.77	CU	25.92	0.980	1.12	ZN	1.29	0.960	1.29	CU	1.99	0.720	1.99	CU
A0ABQ0LKN2	mononuclear	5	CuB	0.16	95.9	CuA	0.41	93.9	4.01	2	21	0.59	0.980	0.59	CU	2.14	0.960	2.14	CU								
A0ABQ0M8A7	mononuclear	5	CuB	0.44	95.6	CuA	0.53	80.7	3.79	2	22	0.19	0.950	0.19	CU	0.48	0.640	0.48	CU								
A0ABQ4GGN2	no_cu	2	CuA	1.30	90.0	neither		71.0	22.92	0	18			1.53	X			0.08	X								
A0ABQ6N7K7	binuclear	5	CuB	0.34	97.0	CuA	1.06	95.1	5.07	2	22	1.37	0.860	1.37	CU	0.48	0.740	0.48	CU								
A0ABQ7J1C5	mononuclear	5	CuA	0.38	96.8	CuB	0.49	94.3	3.75	2	22	0.45	0.990	0.45	CU	1.17	0.630	1.17	CU								
A0ABQ8R1M6	binuclear	5	CuB	0.30	92.7	CuA	0.78	79.0	3.97	4	51	0.07	0.910	0.07	CU	0.66	0.810	0.66	CU								
A0ABQ9PEH4	mononuclear	5	CuB	0.57	77.5	CuA	0.67	75.8	3.85	2	24	0.44	0.840	0.44	CU	1.31	0.570	1.31	CU								
A0ABQ9PND2	mononuclear	5	CuA	0.49	97.3	CuB	0.53	94.5	4.03	2	18	0.59	0.890	0.59	CU	0.31	0.830	0.31	CU								
A0ABQ9Q197	mononuclear	5	CuA	0.66	97.1	CuB	0.50	94.4	4.41	2	19	0.12	0.960	0.12	CU	0.86	0.700	0.86	CU								
A0ABQ9QHE7	mononuclear	5	CuA	0.54	97.4	CuB	0.57	95.1	3.91	3	19	0.37	0.980	0.37	CU	0.08	0.830	0.08	CU								
A0ABQ9S7H6	binuclear	4	CuB	0.42	86.4	CuA	0.97	54.0	4.66	1	16	0.61	0.740	0.61	CU	5.11	0.740	1.79	X								
A0ABQ9T229	mononuclear	5	CuA	0.44	97.2	CuB	0.48	94.7	3.82	2	26	0.98	0.140	0.98	CU	2.97	0.140	2.97	CU								
A0ABR0EHV5	mononuclear	5	CuA	0.55	95.8	CuB	0.60	94.3	3.82	3	22	0.36	0.980	0.36	CU	0.36	0.840	0.36	CU								
A0ABR0H9K2	binuclear	5	CuA	0.62	95.9	CuB	0.47	88.3	4.54	4	21	0.36	0.920	0.36	CU	1.29	0.710	1.29	CU								
A0ABR0I6B4	binuclear	5	CuA	0.62	95.9	CuB	0.47	88.3	4.54	4	21	0.36	0.920	0.36	CU	1.29	0.710	1.29	CU								
A0ABR0JJU7	mononuclear	5	CuA	0.40	96.0	CuB	0.42	95.1	3.86	1	27	4.15	0.770	4.15	CU	0.78	0.770	0.78	CU								
A0ABR0ML46	mononuclear	5	CuA	0.96	85.3	CuB	0.58	73.5	4.38	3	37	0.57	1.000	0.57	CU	1.20	0.850	1.20	CU								
A0ABR0S881	mononuclear	5	CuA	0.43	95.8	CuB	0.25	92.0	3.84	2	20	0.54	0.940	0.54	CU	0.87	0.490	0.87	CU								
A0ABR0TFM8	no_cu	2	neither		78.0	neither		69.8	23.78	0	20			7.23	X			11.17	NA								
A0ABR1FHI7	mononuclear	5	CuA	0.16	94.9	CuB	1.04	89.0	4.63	1	17	0.46	0.870	0.46	CU	4.29	0.870	4.29	CU								
A0ABR1QFP3	mononuclear	5	CuA	0.28	96.2	CuB	0.40	92.2	4.02	3	30	0.41	0.910	0.41	CU	1.43	0.720	1.43	CU								
A0ABR1T514	mononuclear	5	CuA	0.12	94.8	CuB	0.38	92.5	3.99	3	23	0.87	0.890	0.87	CU	0.92	0.460	0.92	CU								
A0ABR1TI72	binuclear	5	CuA	0.51	94.0	CuB	0.40	77.2	4.28	2	18	0.96	0.580	0.96	CU	2.81	0.390	2.81	CU								
A0ABR1TNQ8	mononuclear	4	CuA	0.68	79.8	neither		73.3	31.87	1	22	1.00	0.940	1.00	CU	30.94	0.940	1.33	X	0.63	0.660	0.63	CU	2.47	0.640	2.47	CU
